1,1,1698,387,162,339,1,-1,-1,-1
1,2,0,339,118,564,1,-1,-1,-1
1,3,1289,462,71,196,1,-1,-1,-1
1,4,1255,539,59,117,1,-1,-1,-1
1,5,260,455,114,249,1,-1,-1,-1
1,6,118,503,75,240,1,-1,-1,-1
1,7,1888,393,30,173,1,-1,-1,-1
2,2,0,330,120,573,1,-1,-1,-1
2,1,1691,385,162,341,1,-1,-1,-1
2,5,261,456,118,249,1,-1,-1,-1
2,3,1292,459,67,199,1,-1,-1,-1
2,4,1257,538,57,117,1,-1,-1,-1
2,6,120,504,71,238,1,-1,-1,-1
2,7,1884,393,34,174,1,-1,-1,-1
3,2,0,321,121,584,1,-1,-1,-1
3,1,1687,385,164,343,1,-1,-1,-1
3,5,261,457,120,248,1,-1,-1,-1
3,3,1295,460,64,198,1,-1,-1,-1
3,4,1260,537,53,119,1,-1,-1,-1
3,6,121,508,75,234,1,-1,-1,-1
3,7,1882,389,35,182,1,-1,-1,-1
4,2,-1,285,129,624,1,-1,-1,-1
4,1,1686,385,162,343,1,-1,-1,-1
4,5,262,456,118,250,1,-1,-1,-1
4,3,1298,460,61,198,1,-1,-1,-1
4,4,1262,537,51,119,1,-1,-1,-1
4,6,122,513,75,230,1,-1,-1,-1
4,7,1880,383,37,183,1,-1,-1,-1
5,2,-4,249,153,659,1,-1,-1,-1
5,1,1685,385,160,346,1,-1,-1,-1
5,5,265,456,96,249,1,-1,-1,-1
5,3,1300,461,63,198,1,-1,-1,-1
5,6,121,519,76,224,1,-1,-1,-1
5,4,1267,537,46,119,1,-1,-1,-1
5,7,1879,364,38,205,1,-1,-1,-1
6,2,0,237,154,664,1,-1,-1,-1
6,1,1686,386,156,348,1,-1,-1,-1
6,5,262,457,95,248,1,-1,-1,-1
6,3,1302,460,63,199,1,-1,-1,-1
6,4,1271,537,42,120,1,-1,-1,-1
6,7,1877,349,42,226,1,-1,-1,-1
6,6,122,520,74,224,1,-1,-1,-1
7,2,0,228,159,670,1,-1,-1,-1
7,1,1689,387,152,348,1,-1,-1,-1
7,5,266,456,88,249,1,-1,-1,-1
7,3,1304,459,64,200,1,-1,-1,-1
7,4,1275,537,39,119,1,-1,-1,-1
7,7,1873,343,45,235,1,-1,-1,-1
7,6,121,521,77,224,1,-1,-1,-1
8,2,0,223,166,672,1,-1,-1,-1
8,1,1689,387,151,349,1,-1,-1,-1
8,5,267,456,88,248,1,-1,-1,-1
8,3,1305,458,65,202,1,-1,-1,-1
8,4,1277,538,38,118,1,-1,-1,-1
8,7,1872,342,46,237,1,-1,-1,-1
8,6,122,514,74,234,1,-1,-1,-1
9,2,1,221,171,673,1,-1,-1,-1
9,1,1690,388,149,350,1,-1,-1,-1
9,3,1305,458,70,200,1,-1,-1,-1
9,5,269,456,85,247,1,-1,-1,-1
9,6,123,520,72,224,1,-1,-1,-1
9,7,1870,342,47,239,1,-1,-1,-1
9,4,1278,538,39,118,1,-1,-1,-1
10,2,2,220,174,673,1,-1,-1,-1
10,1,1690,389,147,352,1,-1,-1,-1
